"Word","Length","Freq_HAL","Log_Freq_HAL","MorphSp","POS"
"spurring","8","93","4.53","{spur}>ing>","VB"
"spurs","5","1083","6.99","{spur}>s>","NN|VB"
"spurt","5","659","6.49","{spurt}","NN|VB"
"sputnik","7","251","5.53","{sputnik}","NN"
"sputter","7","198","5.29","{sputter}","VB|NN"
"sputtered","9","217","5.38","{sputter}>ed>","VB"
"spy","3","5251","8.57","{spy}","NN|VB"
"spyglass","8","398","5.99","{spy}{glass}","NN"
"spying","6","1390","7.24","{spy}>ing>","VB"
"squab","5","19","2.94","{squab}","NN"
"squabble","8","205","5.32","{squabble}","NN|VB"
"squabbles","9","209","5.34","{squabble}>s>","VB|NN"
"squabbling","10","251","5.53","{squabble}>ing>","VB|NN|JJ"
"squad","5","4812","8.48","{squad}","NN"
"squadron","8","2393","7.78","{squadron}","NN"
"squadrons","9","489","6.19","{squadron}>s>","NN"
"squads","6","1121","7.02","{squad}>s>","NN"
"squalid","7","125","4.83","{squalid}","JJ"
"squall","6","197","5.28","{squall}","NN"
"squalls","7","44","3.78","{squall}>s>","NN"
"squalor","7","184","5.21","{squalor}","NN"
"squander","8","171","5.14","{squander}","VB"
"squandered","10","217","5.38","{squander}>ed>","VB|JJ"
"square","6","19004","9.85","{square}","NN|VB|JJ"
"squared","7","1080","6.98","{square}>ed>","JJ|VB"
"squarely","8","712","6.57","{square}>ly>","RB"
"squares","7","2672","7.89","{square}>s>","NN|VB"
"squash","6","1217","7.10","{squash}","NN|VB"
"squashed","8","571","6.35","{squash}>ed>","JJ|VB"
"squashing","9","141","4.95","{squash}>ing>","VB|NN"
"squashy","7","7","1.95","{squash}>y>","JJ"
"squat","5","1637","7.40","{squat}","JJ|VB"
"squats","6","510","6.23","{squat}>s>","NN|VB"
"squatted","8","255","5.54","{squat}>ed>","VB"
"squatter","8","62","4.13","{squat}>er>","NN"
"squatter's","10","20","3.00","{squat}>er>>'s>","encl"
"squatting","9","443","6.09","{squat}>ing>","VB"
"squaw","5","355","5.87","{squaw}","NN"
"squawk","6","216","5.38","{squawk}","VB"
"squeak","6","516","6.25","{squeak}","NN|VB"
"squeaked","8","135","4.91","{squeak}>ed>","VB"
"squeaking","9","163","5.09","{squeak}>ing>","VB"
"squeaky","7","412","6.02","{squeak}>y>","JJ"
"squeal","6","589","6.38","{squeal}","VB|NN"
"squealed","8","314","5.75","{squeal}>ed>","VB"
"squealer","8","40","3.69","{squeal}>er>","NN"
"squealing","9","334","5.81","{squeal}>ing>","VB|NN"
"squeals","7","203","5.31","{squeal}>s>","NN|VB"
"squeamish","9","177","5.18","{squeamish}","JJ"
"squeamishness","13","24","3.18","{squeamish}>ness>","NN"
"squeegee","8","86","4.45","{squeegee}","NN|VB"
"squeeze","7","3914","8.27","{squeeze}","VB|NN"
"squeezed","8","2158","7.68","{squeeze}>ed>","VB|JJ"
"squeezing","9","1548","7.34","{squeeze}>ing>","VB"
"squelch","7","400","5.99","{squelch}","VB"
"squelched","9","230","5.44","{squelch}>ed>","VB"
"squid","5","1126","7.03","{squid}","NN"
"squiggle","8","69","4.23","{squiggle}","NN|VB"
"squiggly","8","55","4.01","{squiggle}>y>","RB"
"squint","6","261","5.56","{squint}","VB"
"squinted","8","121","4.80","{squint}>ed>","VB"
"squinting","9","136","4.91","{squint}>ing>","VB"
"squinty","7","18","2.89","{squint}>y>","JJ"
"squire","6","1681","7.43","{squire}","NN"
"squires","7","376","5.93","{squire}>s>","NN"
"squirm","6","730","6.59","{squirm}","VB|NN"
"squirmed","8","521","6.26","{squirm}>ed>","VB"
"squirms","7","56","4.03","{squirm}>s>","VB"
"squirrel","8","1989","7.60","{squirrel}","NN|VB"
"squirt","6","1371","7.22","{squirt}","NN|VB"
"squirted","8","386","5.96","{squirt}>ed>","VB"
"squirting","9","604","6.40","{squirt}>ing>","VB"
"stab","4","1640","7.40","{stab}","NN|VB"
"stabbed","7","783","6.66","{stab}>ed>","VB"
"stabilities","11","4","1.39","{stabile}>ity>>s>","NN"
"stability","9","8857","9.09","{stabile}>ity>","NN"
"stabilization","13","683","6.53","{stabile}>ise>>ation>","NN"
"stabilize","9","1063","6.97","{stabile}>ise>","VB"
"stabilized","10","481","6.18","{stabile}>ise>>ed>","VB"
"stabilizes","10","169","5.13","{stabile}>ise>>s>","VB"
"stabilizing","11","459","6.13","{stabile}>ise>>ing>","VB"
"snowshoe","8","134","4.90","{snow}{shoe}","NN"
"snowstorm","9","350","5.86","{snow}{storm}","NN"
"snowy","5","758","6.63","{snow}>y>","JJ"
"snub","4","181","5.20","{snub}","VB|NN|JJ"
"snubbed","7","200","5.30","{snub}>ed>","VB|JJ"
"snubbing","8","48","3.87","{snub}>ing>","VB|NN|JJ"
"snuff","5","1066","6.97","{snuff}","VB|NN"
"snuffboxes","10","0","0.00","{snuff}{box}>s>","NN"
"snuffed","7","141","4.95","{snuff}>ed>","VB"
"snuffle","7","32","3.47","{snuffle}","NN|VB"
"snug","4","1259","7.14","{snug}","JJ"
"snuggle","7","278","5.63","{snuggle}","VB"
"snuggled","8","276","5.62","{snuggle}>ed>","VB"
"snugly","6","346","5.85","{snug}>ly>","RB"
"so","2","1261201","14.05","{so}","RB|minor"
"soak","4","2107","7.65","{soak}","VB"
"soaked","6","1949","7.58","{soak}>ed>","VB"
"soaking","7","1384","7.23","{soak}>ing>","VB"
"soap","4","8037","8.99","{soap}","NN|VB"
"soapbox","7","990","6.90","{soap}{box}","NN"
"soaps","5","1352","7.21","{soap}>s>","NN|VB"
"soapstone","9","24","3.18","{soap}{stone}","NN"
"soapsuds","8","13","2.56","{soap}{sud}>s>","NN"
"soapy","5","515","6.24","{soap}>y>","JJ"
"soar","4","864","6.76","{soar}","VB|NN"
"soared","6","408","6.01","{soar}>ed>","VB"
"soaring","7","1299","7.17","{soar}>ing>","VB"
"sob","3","1631","7.40","{sob}","VB|NN"
"sobbed","6","337","5.82","{sob}>ed>","VB"
"sobbing","7","777","6.66","{sob}>ing>","VB"
"sobbingly","9","0","0.00","{sob}>ing>>ly>","RB"
"sober","5","1703","7.44","{sober}","JJ|VB"
"sobered","7","70","4.25","{sober}>ed>","VB"
"sobering","8","221","5.40","{sober}>ing>","VB"
"soberly","7","41","3.71","{sober}>ly>","RB"
"sobriety","8","331","5.80","{sobriety}","NN"
"sobriquet","9","51","3.93","{sobriquet}","NN"
"sobs","4","405","6.00","{sob}>s>","NN|VB"
"soccer","6","7502","8.92","{soccer}","NN"
"sociable","8","231","5.44","{soci--able}","JJ"
"social","6","58169","10.97","{soci--al}","JJ|NN"
"socialism","9","4292","8.36","{soci--al}>ism>","NN"
"socialist","9","5874","8.68","{soci--al}>ist>","JJ|NN"
"socialite","9","51","3.93","{soci--al}>ite>","NN"
"socialize","9","705","6.56","{soci--al}>ise>","VB"
"socially","8","3083","8.03","{soci--al}>ly>","RB"
"societal","8","1807","7.50","{soci--etal}","JJ"
"societies","9","5979","8.70","{soci--ety}>s>","NN"
"society","7","78371","11.27","{soci--ety}","NN"
"society's","9","1531","7.33","{soci--ety}>'s>","encl"
"socioeconomic","13","516","6.25","<socio<{econom--ic}","JJ"
"sociologist","11","315","5.75","{socio--log--ist}","NN"
"sociology","9","2234","7.71","{socio--log--y}","NN"
"sock","4","1146","7.04","{sock}","NN|VB"
"socked","6","107","4.67","{sock}>ed>","VB|JJ"
"socket","6","8514","9.05","{socket}","NN"
"sockets","7","5049","8.53","{socket}>s>","NN"
"socks","5","3717","8.22","{sock}>s>","NN|VB"
"Socrates","8","1196","7.09","{socrates}","NN"
"Socratic","8","170","5.14","{socratic}","JJ"
"sod","3","1076","6.98","{sod}","NN|VB"
"soda","4","3367","8.12","{soda}","NN"
"sodden","6","130","4.87","{sodden}","JJ"
"sodium","6","2204","7.70","{sodium}","NN|JJ"
"sodomite","8","63","4.14","{sodom}>ite>","NN"
"sodomy","6","734","6.60","{sodom}>y>","NN"
"sofa","4","1515","7.32","{sofa}","NN"
"sofas","5","108","4.68","{sofa}>s>","NN"
"soft","4","22233","10.01","{soft}","JJ|RB"
"softball","8","886","6.79","{soft}{ball}","NN"
"soften","6","791","6.67","{soft}>en>","VB"
"softened","8","747","6.62","{soft}>en>>ed>","VB"
"softener","8","143","4.96","{soft}>en>>er>","NN"
"softening","9","457","6.12","{soft}>en>>ing>","VB"
"softens","7","133","4.89","{soft}>en>>s>","VB"
"softer","6","1550","7.35","{soft}>er>","JJ"
"softest","7","166","5.11","{soft}>est>","JJ"
"softhearted","11","6","1.79","{soft}-{heart}>ed>","JJ"
"softly","6","3691","8.21","{soft}>ly>","RB"
"softness","8","595","6.39","{soft}>ness>","NN"
"software","8","325439","12.69","{soft}{ware}","NN"
"softwood","8","130","4.87","{soft}{wood}","JJ"
"softy","5","67","4.20","{soft}>y>","NN"
"soggy","5","378","5.93","{soggy}","JJ"
"soil","4","7607","8.94","{soil}","NN|VB"
"soiled","6","618","6.43","{soil}>ed>","VB"
"soils","5","614","6.42","{soil}>s>","NN|VB"
"soiree","6","72","4.28","{soiree}","NN"
"soirees","7","14","2.64","{soiree}>s>","NN"
"sojourn","7","521","6.26","{so--journ}","NN|VB"
"sojourner","9","146","4.98","{so--journ}>er>","NN"
"solace","6","350","5.86","{solace}","NN"
"solaced","7","0","0.00","{solace}>ed>","JJ"
"solar","5","9613","9.17","{sol--ar}","JJ|NN"
"solarium","8","27","3.30","{sol--arium}","NN"
"sold","4","189940","12.15","{sold}","VB|NN"
"solder","6","2486","7.82","{solder}","VB"
"soldered","8","993","6.90","{solder}>ed>","VB"
"soldering","9","1653","7.41","{solder}>ing>","JJ|VB"
"soldier","7","8296","9.02","{soldier}","NN|VB"
"soldiering","10","28","3.33","{soldier}>ing>","VB|NN"
"soldierly","9","3","1.10","{soldier}>ly>","RB"
"soldiers","8","12077","9.40","{soldier}>s>","NN|VB"
"soldier's","9","381","5.94","{soldier}>'s>","encl"
"soldiery","8","22","3.09","{soldier}>y>","NN"
"sole","4","7668","8.94","{sole}","JJ|NN|VB"
"solely","6","8749","9.08","{sole}>ly>","RB"
"solemn","6","718","6.58","{solemn}","JJ"
"solemnity","9","44","3.78","{solemn}>ity>","NN"
"solemnize","9","6","1.79","{solemn}>ise>","VB"
"solemnly","8","348","5.85","{solemn}>ly>","RB"
"solenoid","8","565","6.34","{solenoid}","NN"
"soles","5","1005","6.91","{sole}>s>","NN|VB"
"solicit","7","1219","7.11","{solicit}","VB"
"solicitation","12","809","6.70","{solicit}>ation>","NN"
"solicited","9","1206","7.10","{solicit}>ed>","VB"
"soliciting","10","1352","7.21","{solicit}>ing>","VB"
"solicitor","9","252","5.53","{solicit}>or>","NN"
"solicitous","10","60","4.09","{solicit}>ous>","JJ"
"solicitousness","14","2","0.69","{solicit}>ous>>ness>","NN"
"solicits","8","345","5.84","{solicit}>s>","VB"
"solid","5","24264","10.10","{solid}","JJ|NN|RB"
"solicitude","10","19","2.94","{solicit}>ude>","NN"
"solidarity","10","2336","7.76","{solid}>arity>","NN"
"solidifies","10","56","4.03","{solid}>ify>>s>","VB"
"solidify","8","215","5.37","{solid}>ify>","VB"
"solidity","8","135","4.91","{solid}>ity>","NN"
"solidly","7","796","6.68","{solid}>ly>","RB"
"solids","6","1353","7.21","{solid}>s>","NN"
"soliloquy","9","109","4.69","{soli--loqu--y}","NN"
"solipsism","9","167","5.12","{solips--ism}","NN"
"solitaire","9","1171","7.07","{sol--itaire}","NN"
"solitary","8","1087","6.99","{sol--itary}","JJ"
"solitude","8","885","6.79","{sol--itude}","NN"
"solitudes","9","30","3.40","{sol--itude}>s>","NN"
"solo","4","17635","9.78","{solo}","NN|JJ|RB"
"soloist","7","382","5.95","{solo}>ist>","NN"
"soloists","8","322","5.77","{solo}>ist>>s>","NN"
"Solomon","7","2627","7.87","{solomon}","NN"
"Solomon's","9","513","6.24","{solomon}>'s>","encl"
"solos","5","1522","7.33","{solo}>s>","NN"
"solstice","8","394","5.98","{solstice}","NN"
"someone","7","255347","12.45","{some}{one}","NN"
"solubility","10","203","5.31","{soluble}>ity>","NN"
"soluble","7","890","6.79","{soluble}","JJ"
"solution","8","52273","10.86","{solute}>ion>","NN"
"solutions","9","30914","10.34","{solute}>ion>>s>","NN"
"solve","5","20011","9.90","{solve}","VB|NN"
"solved","6","9356","9.14","{solve}>ed>","VB"
"solvency","8","135","4.91","{solv--ency}","NN"
"solvent","7","1381","7.23","{solv--ent}","JJ|NN"
"solvents","8","569","6.34","{solv--ent}>s>","NN"
"solves","6","1834","7.51","{solve}>s>","VB|NN"
"solving","7","6617","8.80","{solve}>ing>","VB"
"Somalia","7","1526","7.33","{somalia}","NN"
"somatic","7","362","5.89","{soma--tic}","JJ"
"somber","6","254","5.54","{somber}","JJ"
"sombrero","8","128","4.85","{sombrero}","NN"
"some","4","1042740","13.86","{some}","minor|NN"
"somebody","8","33446","10.42","{some--body}","NN"
"somebody's","10","1361","7.22","{some--body}>'s>","encl"
"someday","7","6249","8.74","{some}{day}","RB"
"somehow","7","25825","10.16","{some}{how}","RB"
"someone's","9","6964","8.85","{some}{one}>'s>","encl"
"someplace","9","2385","7.78","{some}{place}","RB"
"somersault","10","103","4.63","{somersault}","NN|VB"
"somersaulting","13","10","2.30","{somersault}>ing>","VB|NN|JJ"
"somersaults","11","31","3.43","{somersault}>s>","NN|VB"
"somerset","8","1087","6.99","{somerset}","NN"
"something","9","331899","12.71","{some}{thing}","NN"
"sometime","8","13368","9.50","{some}{time}","RB|JJ"
"sometimes","9","82167","11.32","{some}{time}>s>","RB"
"somewhat","8","31984","10.37","{some}{what}","RB|NN"
"somewhere","9","44763","10.71","{some}{where}","RB|NN"
"somnambulate","12","0","0.00","{somn--ambul--ate}","VB"
"somnolence","10","21","3.04","{somn--olence}","NN"
"somnolent","9","18","2.89","{somn--olent}","JJ"
"son","3","43980","10.69","{son}","NN"
"sonar","5","503","6.22","{son--ar}","NN"
"sonata","6","789","6.67","{sonata}","NN"
"sonatas","7","478","6.17","{sonata}>s>","NN"
"song","4","59801","11.00","{song}","NN"
"songbird","8","204","5.32","{song}{bird}","NN"
"songbook","8","437","6.08","{song}{book}","NN"
"songful","7","1","0.00","{song}>ful>","JJ"
"songs","5","33272","10.41","{song}>s>","NN"
"song's","6","278","5.63","{song}>'s>","encl"
"sonic","5","4277","8.36","{son--ic}","JJ"
"sonnet","6","375","5.93","{sonnet}","NN"
"sonnets","7","261","5.56","{sonnet}>s>","NN"
"Sonny","5","3527","8.17","{son}>y>","NN"
"sonogram","8","76","4.33","{sono--gram}","NN"
"Sonoma","6","1112","7.01","{sonoma}","NN"
"sons","4","7093","8.87","{son}>s>","NN"
"son's","5","1852","7.52","{son}>'s>","encl"
"soon","4","90301","11.41","{soon}","RB"
"sooner","6","7392","8.91","{soon}>er>","RB"
"soot","4","283","5.65","{soot}","NN"
"soothe","6","286","5.66","{soothe}","VB"
"soothed","7","133","4.89","{soothe}>ed>","VB|JJ"
"soothing","8","723","6.58","{soothe}>ing>","VB|JJ"
"soothingly","10","66","4.19","{soothe}>ing>>ly>","RB"
"soothsayer","10","54","3.99","{sooth}{say}>er>","NN"
"sooty","5","79","4.37","{soot}>y>","JJ"
"sop","3","432","6.07","{sop}","NN"
"Sophia","6","965","6.87","{sophia}","NN"
"Sophia's","8","60","4.09","{sophia}>'s>","encl"
"Sophie","6","924","6.83","{sophie}","NN"
"sophism","7","12","2.48","{soph--ism}","NN"
"sophistry","9","312","5.74","{soph--ist--ry}","NN"
"Sophocles","9","132","4.88","{sophocles}","NN"
"sophomore","9","1020","6.93","{sophomore}","NN"
"sophomores","10","139","4.93","{sophomore}>s>","NN"
"sopping","7","176","5.17","{sop}>ing>","JJ|VB"
"soprano","7","913","6.82","{soprano}","NN|JJ"
"sopranos","8","124","4.82","{soprano}>s>","NN"
"sops","4","69","4.23","{sop}>s>","NN|VB"
"sorbet","6","32","3.47","{sorbet}","NN"
"sorcerer","8","2299","7.74","{sorcer--er}","NN"
"sorceress","9","3768","8.23","{sorcer--ess}","NN"
"sorcery","7","1864","7.53","{sorcer--y}","NN"
"sordid","6","378","5.93","{sordid}","JJ"
"sore","4","3354","8.12","{sore}","JJ"
"sorely","6","945","6.85","{sore}>ly>","RB"
"soreness","8","413","6.02","{sore}>ness>","NN"
"sores","5","622","6.43","{sore}>s>","NN"
"sorest","6","7","1.95","{sore}>est>","JJ"
"sorghum","7","117","4.76","{sorghum}","NN"
"sororities","10","260","5.56","{soror--itie}>s>","NN"
"sorority","8","533","6.28","{soror--ity}","NN"
"sorption","8","9","2.20","{sorption}","NN"
"sorriest","8","59","4.08","{sorry}>est>","JJ"
"sorrow","6","1512","7.32","{sorrow}","NN|VB"
"sorrowful","9","94","4.54","{sorrow}>ful>","JJ"
"sorrows","7","534","6.28","{sorrow}>s>","NN|VB"
"sorry","5","93412","11.44","{sorry}","JJ|NN"
"sort","4","78952","11.28","{sort}","NN|VB"
"sorted","6","3130","8.05","{sort}>ed>","VB"
"sortie","6","156","5.05","{sortie}","NN"
"sorting","7","2299","7.74","{sort}>ing>","VB"
"sorts","5","12881","9.46","{sort}>s>","NN|VB"
"souffle","7","140","4.94","{souffle}","NN"
"sought","6","7068","8.86","{sought}","VB"
"soul","4","32352","10.38","{soul}","NN"
"soulful","7","229","5.43","{soul}>ful>","JJ"
"soulfully","9","12","2.48","{soul}>ful>>ly>","RB"
"soulless","8","133","4.89","{soul}>less>","JJ"
"souls","5","6033","8.71","{soul}>s>","NN"
"soul's","6","176","5.17","{soul}>'s>","encl"
"sound","5","122381","11.71","{sound}","NN|VB|JJ"
"sounded","7","7361","8.90","{sound}>ed>","VB"
"sounder","7","152","5.02","{sound}>er>","JJ"
"sounding","8","4695","8.45","{sound}>ing>","VB|NN"
"soundless","9","73","4.29","{sound}>less>","JJ"
"soundly","7","546","6.30","{sound}>ly>","RB"
"soundness","9","421","6.04","{sound}>ness>","NN"
"soundproof","10","56","4.03","{sound}{proof}","JJ|VB"
"sounds","6","69415","11.15","{sound}>s>","VB|NN"
"soundtrack","10","6260","8.74","{sound}{track}","NN"
"soup","4","6046","8.71","{soup}","NN|VB"
"sour","4","2340","7.76","{sour}","JJ|VB|NN"
"source","6","186065","12.13","{source}","NN|VB"
"sources","7","47903","10.78","{source}>s>","NN|VB"
"sourdough","9","462","6.14","{sour}{dough}","NN"
"sourly","6","27","3.30","{sour}>ly>","RB"
"sourpuss","8","22","3.09","{sour}{puss}","NN"
"sours","5","51","3.93","{sour}>s>","VB"
"sousaphone","10","14","2.64","{sousa--phone}","NN"
"south","5","66282","11.10","{south}","NN|RB|JJ"
"Southampton","11","1254","7.13","{sou--thamp--ton}","NN"
"southbound","10","194","5.27","{south}{bound}","JJ|RB|NN"
"southeast","9","4909","8.50","{south}{east}","RB|JJ|NN"
"southeastern","12","1958","7.58","{south}{east}>ern>","JJ|NN"
"southern","8","23994","10.09","{south}>ern>","JJ|NN"
"southerner","10","162","5.09","{south}>ern>>er>","NN"
"southpaw","8","74","4.30","{south}{paw}","NN"
"southward","9","182","5.20","{south}>ward>","RB|JJ"
"southwest","9","4018","8.30","{south}{west}","RB|NN|JJ"
"souvenir","8","649","6.48","{souvenir}","NN"
"souvenirs","9","558","6.32","{souvenir}>s>","NN"
"southwestern","12","1469","7.29","{south}{west}>ern>","JJ|NN"
"sovereign","9","2844","7.95","{sovereign}","JJ|NN"
"sovereigns","10","179","5.19","{sovereign}>s>","NN"
"sovereignty","11","3274","8.09","{sovereign}>ty>","NN"
"Soviet","6","11144","9.32","{soviet}","JJ|NN"
"Soviets","7","1978","7.59","{soviet}>s>","NN"
"Soviet's","8","28","3.33","{soviet}>'s>","encl"
"sow","3","899","6.80","{sow}","VB"
"sowing","6","229","5.43","{sow}>ing>","NN|VB"
"sown","4","269","5.59","{sow}>n>","VB"
"soy","3","3370","8.12","{soy}","NN|JJ"
"soybean","7","309","5.73","{soy}{bean}","NN"
"soybeans","8","342","5.83","{soy}{bean}>s>","NN"
"soysauce","8","5","1.61","{soy}{sauce}","NN"
"spa","3","1034","6.94","{spa}","NN"
"space","5","113076","11.64","{space}","NN|VB"
"spacecraft","10","2870","7.96","{space}{craft}","NN"
"spaced","6","1487","7.30","{space}>ed>","VB"
"spacer","6","598","6.39","{space}>er>","NN"
"spacers","7","710","6.57","{space}>er>>s>","NN"
"spaces","6","6727","8.81","{space}>s>","NN|VB"
"spaceship","9","1094","7.00","{space}{ship}","NN"
"spacesuit","9","107","4.67","{space}{suit}","NN"
"spacesuits","10","49","3.89","{space}{suit}>s>","NN"
"spacing","7","1951","7.58","{space}>ing>","NN|VB"
"spacings","8","88","4.48","{space}>ing>>s>","NN"
"spacious","8","392","5.97","{space}>ous>","JJ"
"spaciousness","12","28","3.33","{space}>ous>>ness>","NN"
"spade","5","1057","6.96","{spade}","NN"
"spades","6","914","6.82","{spade}>s>","NN"
"spaghetti","9","1161","7.06","{spaghetti}","NN"
"Spain","5","8052","8.99","{spain}","NN"
"spake","5","3356","8.12","{spake}","VB"
"Spalding","8","294","5.68","{spalding}","NN"
"spam","4","25571","10.15","{spam}","NN|VB"
"span","4","3410","8.13","{span}","NN|VB"
"spangle","7","18","2.89","{spangle}","NN"
"spangled","8","247","5.51","{spangle}>ed>","VB|JJ"
"Spaniard","8","110","4.70","{span--iard}","NN"
"spaniel","7","1080","6.98","{spaniel}","NN"
"Spaniel's","9","1","0.00","{spaniel}>'s>","encl"
"Spanish","7","12577","9.44","{span--ish}","NN|JJ"
"spank","5","1471","7.29","{spank}","VB"
"spanned","7","255","5.54","{span}>ed>","VB"
"spanner","7","183","5.21","{spanner}","NN"
"spanning","8","799","6.68","{span}>ing>","VB"
"spans","5","972","6.88","{span}>s>","VB|NN"
"spar","4","482","6.18","{spar}","NN|VB"
"spare","5","10605","9.27","{spare}","JJ|VB"
"spared","6","972","6.88","{spare}>ed>","VB"
"spares","6","688","6.53","{spare}>s>","NN|VB"
"sparing","7","287","5.66","{spare}>ing>","VB|JJ"
"spark","5","3274","8.09","{spark}","NN|VB"
"sparked","7","774","6.65","{spark}>ed>","VB"
"sparkle","7","615","6.42","{sparkle}","NN|VB"
"sparkled","8","113","4.73","{sparkle}>ed>","VB"
"sparkler","8","49","3.89","{sparkle}>er>","NN"
"sparkles","8","124","4.82","{sparkle}>s>","NN|VB"
"sparkling","9","684","6.53","{sparkle}>ing>","JJ|VB"
"sparks","6","3268","8.09","{spark}>s>","VB|NN"
"sparring","8","626","6.44","{spar}>ing>","VB|NN"
"sparrow","7","710","6.57","{sparrow}","NN"
"sparrow's","9","15","2.71","{sparrow}>'s>","encl"
"sparse","6","1313","7.18","{sparse}","JJ"
"sparsely","8","197","5.28","{sparse}>ly>","RB"
"sparsity","8","10","2.30","{sparse}>ity>","NN"
"Sparta","6","344","5.84","{sparta}","NN"
"Spartan","7","548","6.31","{sparta}>n>","NN|JJ"
"spasm","5","524","6.26","{spasm}","NN"
"spasmodic","9","43","3.76","{spasmodic}","JJ"
"spasms","6","666","6.50","{spasm}>s>","NN"
"spastic","7","196","5.28","{spastic}","JJ"
"spat","4","688","6.53","{spat}","VB|NN"
"spatial","7","2548","7.84","{space}>ial>","JJ"
"spats","5","102","4.62","{spat}>s>","NN|VB"
"spatter","7","44","3.78","{spatter}","NN|VB"
"spattered","9","72","4.28","{spatter}>ed>","VB"
"spatula","7","546","6.30","{spatula}","NN"
"spawn","5","6883","8.84","{spawn}","VB|NN"
"spay","4","294","5.68","{spay}","VB"
"speak","5","53714","10.89","{speak}","VB|NN"
"speakeasy","9","75","4.32","{speak}{ease}>y>","NN"
"speaker","7","16473","9.71","{speak}>er>","NN"
"speakers","8","14660","9.59","{speak}>er>>s>","NN"
"speaker's","9","417","6.03","{speak}>er>>'s>","encl"
"speakership","11","37","3.61","{speak}>er>>ship>","NN"
"speaking","8","31235","10.35","{speak}>ing>","VB|NN"
"slackened","9","35","3.56","{slack}>en>>ed>","VB"
"slackening","10","20","3.00","{slack}>en>>ing>","VB|NN"
"slacker","7","291","5.67","{slack}>er>","NN"
"slacking","8","121","4.80","{slack}>ing>","VB|NN|JJ"
"slacks","6","493","6.20","{slack}>s>","NN|VB"
"slag","4","579","6.36","{slag}","NN|VB"
"slagheap","8","1","0.00","{slag}{heap}","NN|VB"
"slain","5","694","6.54","{slay}>n>","VB"
"slake","5","24","3.18","{slake}","VB|NN"
"slaked","6","13","2.56","{slake}>ed>","VB"
"slalom","6","1029","6.94","{slalom}","NN|VB"
"slam","4","4231","8.35","{slam}","NN|VB"
"slammed","7","1642","7.40","{slam}>ed>","VB"
"slamming","8","1543","7.34","{slam}>ing>","VB"
"slander","7","2098","7.65","{slander}","NN|VB"
"slanderer","9","41","3.71","{slander}>er>","NN"
"slanderous","10","501","6.22","{slander}>ous>","JJ"
"slanders","8","147","4.99","{slander}>s>","VB|NN"
"slang","5","1953","7.58","{slang}","NN"
"slangy","6","11","2.40","{slang}>y>","JJ"
"slant","5","1431","7.27","{slant}","NN|VB"
"slanted","7","930","6.84","{slant}>ed>","VB|JJ"
"slanting","8","170","5.14","{slant}>ing>","VB"
"slants","6","100","4.61","{slant}>s>","NN|VB"
"slantwise","9","1","0.00","{slant}>wise>","RB"
"slap","4","3098","8.04","{slap}","VB|NN"
"slapdash","8","61","4.11","{slap}{dash}","JJ"
"slaphappy","9","11","2.40","{slap}{happy}","JJ"
"slapped","7","1647","7.41","{slap}>ed>","VB"
"slapping","8","971","6.88","{slap}>ing>","VB|NN"
"slaps","5","528","6.27","{slap}>s>","NN|VB"
"slapstick","9","330","5.80","{slap}{stick}","NN"
"slash","5","3071","8.03","{slash}","VB|NN"
"slashed","7","590","6.38","{slash}>ed>","VB"
"slashes","7","702","6.55","{slash}>s>","NN|VB"
"slashing","8","736","6.60","{slash}>ing>","VB"
"slat","4","70","4.25","{slat}","NN"
"slate","5","1017","6.92","{slate}","NN"
"slated","6","1144","7.04","{slate}>ed>","VB"
"slats","5","226","5.42","{slat}>s>","NN"
"slatted","7","27","3.30","{slat}>ed>","JJ"
"slaughter","9","2785","7.93","{slaughter}","NN|VB"
"slaughtered","11","1153","7.05","{slaughter}>ed>","VB"
"slaughterhouse","14","296","5.69","{slaughter}{house}","NN"
"slaughtering","12","405","6.00","{slaughter}>ing>","VB"
"Slav","4","437","6.08","{slav}","NN"
"slave","5","13149","9.48","{slave}","NN|VB"
"slaver","6","116","4.75","{slaver}","NN|VB"
"slavered","8","7","1.95","{slaver}>ed>","VB"
"slavery","7","6413","8.77","{slave}>ery>","NN"
"slaves","6","6684","8.81","{slave}>s>","NN|VB"
"slave's","7","115","4.74","{slave}>'s>","encl"
"Slavic","6","1595","7.37","{slav--ic}","NN"
"slavish","7","132","4.88","{slave}>ish>","JJ"
"Slavs","5","1090","6.99","{slav}>s>","NN"
"slaw","4","86","4.45","{slaw}","NN"
"slay","4","555","6.32","{slay}","VB"
"slaying","7","372","5.92","{slay}>ing>","VB|NN"
"sleazy","6","1193","7.08","{sleaze}>y>","JJ"
"sled","4","2423","7.79","{sled}","NN"
"sledding","8","199","5.29","{sled}>ing>","NN|VB"
"sledge","6","274","5.61","{sledge}","NN"
"sledgehammer","12","313","5.75","{sledge}{hammer}","NN"
"sleek","5","526","6.27","{sleek}","JJ"
"sleep","5","25606","10.15","{sleep}","VB|NN"
"sleeper","7","1093","7.00","{sleep}>er>","NN"
"sleepers","8","433","6.07","{sleep}>er>>s>","NN"
"sleeper's","9","8","2.08","{sleep}>er>>'s>","encl"
"sleepily","8","63","4.14","{sleep}>y>>ly>","RB"
"sleeping","8","9165","9.12","{sleep}>ing>","VB|NN"
"sleepless","9","490","6.19","{sleep}>less>","JJ"
"sleeplessly","11","1","0.00","{sleep}>less>>ly>","RB"
